Accreditation code,Power station name,State,Installed capacity,Postcode,Fuel source(s),Accreditation start date,Suspension status,Baseline (MWh),Comment
SRPVQLU3,Bunnings Caloundra - Solar - QLD,QLD,0.4192,4551,Solar,20/12/2021,Unsuspended,0,n/a
SRPVQLU4,Bunnings Maryborough - Solar - QLD,QLD,0.2706,4650,Solar,20/12/2021,Unsuspended,0,n/a
SRPVQLU5,Bunnings Morayfield - Solar - QLD,QLD,0.2993,4506,Solar,20/12/2021,Unsuspended,0,n/a
SRPVSAP8,Bunnings Parafield - Solar - SA,SA,0.2493,5106,Solar,20/12/2021,Unsuspended,0,n/a
SRPXNS62,Bunnings Wallsend - Solar - NSW,NSW,0.36,2287,Solar,20/12/2021,Unsuspended,0,n/a
SRPXVC74,Bunnings Epsom - Solar - VIC,VIC,0.2997,3551,Solar,21/12/2021,Unsuspended,0,n/a
SRPXVC76,Bunnings Leopold - Solar - VIC,VIC,0.1997,3224,Solar,21/12/2021,Unsuspended,0,n/a
SRPXVC77,Bunnings Melton - Solar - VIC,VIC,0.3001,3337,Solar,21/12/2021,Unsuspended,0,n/a
SRPXVC75,Bunnings Shepparton - Solar - VIC,VIC,0.2501,3630,Solar,21/12/2021,Unsuspended,0,n/a
SRPVQLU6,Woolworths DC Townsville 2996 - Solar - QLD,QLD,1.1137,4818,Solar,22/12/2021,Unsuspended,0,n/a
WD00VC46,Murra Warra Wind Farm Stage 2 - VIC,VIC,209,3401,Wind,23/12/2021,Unsuspended,0,n/a
SRPVQLU7,Bunnings North Lakes - Solar - QLD,QLD,0.499,4509,Solar,10/01/2022,Unsuspended,0,n/a
SRPVSAO8,Redmud Green Energy 97 - Solar - SA,SA,0.2368,5341,Solar,11/01/2022,Unsuspended,0,n/a
SRPXNS49,AU870 Interchange Pk 22 Wonderland - Solar - NSW,NSW,0.2997,2766,Solar,12/01/2022,Unsuspended,0,n/a
SRPXNS63,The Iconic - Solar - NSW,NSW,0.3501,2161,Solar,19/01/2022,Unsuspended,0,n/a
BEBGQL34,KGF Biogas Generation Plant - QLD,QLD,3.902,4515,Biomass,21/01/2022,Unsuspended,0,n/a
SRPXVC78,Diamond Valley Sports and Fitness Centre - Solar - VIC,VIC,0.1492,3088,Solar,27/01/2022,Unsuspended,0,n/a
SRPVQLU8,Toohey Road - Stage 2 - Solar w SGU - QLD,QLD,0.3323,4107,Solar,27/01/2022,Unsuspended,0,n/a
SRPVNT68,Jabiru Solar Project - Solar - NT,NT,8.4496,0886,Solar,1/02/2022,Unsuspended,0,n/a
SRPVSAO9,Redmud Green Energy 111 - Solar - SA,SA,0.2368,5333,Solar,1/02/2022,Unsuspended,0,n/a
SRPVSAO7,Redmud Green Energy 93- Solar - SA,SA,0.2368,5321,Solar,1/02/2022,Unsuspended,0,n/a
SRPXVC80,South West Healthcare-Solar-Vic,VIC,0.2483,3280,Solar,1/02/2022,Unsuspended,0,n/a
SRPVSAP9,PA Power Microgrid 1 Pty Ltd - Solar - SA,SA,1.1945,5950,Solar,4/02/2022,Unsuspended,0,n/a
WD00NS20,"Bango Wind Farm 2, feeder 999- NSW",NSW,84.8,2586,Wind,6/02/2022,Unsuspended,0,n/a
SRPXNS65,Wax Converters Rutherford - Solar w SGU - NSW,NSW,0.8008,2320,Solar,8/02/2022,Unsuspended,0,n/a
SRPVQLU9,"College Avenue, Forest Lake - SOLAR - Qld w SGU",QLD,0.2997,4078,Solar,9/02/2022,Unsuspended,0,n/a
SRPXNS46,"ISPT Kookaburra Road, Prestons - Solar - NSW",NSW,0.3049,2170,Solar,9/02/2022,Unsuspended,0,n/a
SRPVWAF1,Mount Magnet WTP - Solar PV - WA,WA,0.2016,6638,Solar,14/02/2022,Unsuspended,0,n/a
SRPXNS67,"GENELEC Newbridge Rd, Moorebank - Solar w SGU - NSW",NSW,0.3478,2170,Solar,21/02/2022,Unsuspended,0,n/a
SRPXNS66,"Gymnasium Road, Macquarie Park - Solar - NSW",NSW,0.36,2113,Solar,21/02/2022,Unsuspended,0,n/a
SRPXNS64,Mirvac Energy - Locomotive Shed - Solar - NSW,NSW,0.6693,2015,Solar,23/02/2022,Suspended,0,n/a
SRPXNS87,"McLaurin Road, Ettamogah - Solar - NSW",NSW,0.6323,2640,Solar,24/02/2022,Unsuspended,0,n/a
SRPXNS45,Metz Solar Farm - Solar - NSW,NSW,141.5063,2350,Solar,1/03/2022,Unsuspended,0,n/a
SRPVQLV1,Mareeba Water Treatment Plant - Solar - QLD,QLD,0.1436,4880,Solar,3/03/2022,Unsuspended,0,n/a
SRPVQLV2,Mareeba Wastewater Plant - Solar PV - QLD,QLD,0.1295,4880,Solar,4/03/2022,Unsuspended,0,n/a
SRPVSAQ0,Saint Ignatius' College - Solar w SGU - SA,SA,0.1989,5076,Solar,7/03/2022,Unsuspended,0,n/a
SRPXNS68,The King's School Preparatory School - Solar w SGU - NSW,NSW,0.2117,2151,Solar,8/03/2022,Unsuspended,0,n/a
SRPVNT69,Batchelor Pell - Solar - NT,NT,12.5383,0845,Solar,11/03/2022,Unsuspended,0,n/a
SRPXNS70,Agile Energy NGR 330kW - Solar w SGU - NSW,NSW,0.3303,2112,Solar,22/03/2022,Unsuspended,0,n/a
SRPXNS71,AusPost DF St Leonards - Solar - NSW,NSW,0.1998,2065,Solar,22/03/2022,Unsuspended,0,n/a
SRPVQLV5,AusPost Sunshine Coast - Solar - QLD,QLD,0.1998,4560,Solar,22/03/2022,Unsuspended,0,n/a
SRPXNS72,John Hunter Hospital 2398.5kW - Solar w SGU - NSW,NSW,2.3985,2305,Solar,28/03/2022,Unsuspended,0,The installed capacity includes capacity that received small-scale technology certificates (STCs) under the Small-scale Renewable Energy Target (SRES).
SRPXNS74,BAYSHORE DEVELOPMENT PTY LTD - BYRON BAY - NSW - SOLAR,NSW,0.2,2481,Solar,31/03/2022,Unsuspended,0,n/a
SRPXNS73,Dudley Private Hospital - Solar - NSW,NSW,0.233,2800,Solar,31/03/2022,Unsuspended,0,n/a
SRPVQLV4,Lakeside Homestead Pty Ltd - Solar - w SGU - QLD,QLD,0.2236,4216,Solar,31/03/2022,Unsuspended,0,n/a
SRPVWAF3,Balcatta Customer Centre - Solar w SGU - WA,WA,0.4097,6021,Solar,4/04/2022,Unsuspended,0,n/a
SRPVQLV6,LoganholmeWWTP-Solar-QLD,QLD,1.3608,4129,Solar,4/04/2022,Unsuspended,0,n/a
SRPVWAF0,Gruyere Power Station - Solar Farm - WA,WA,13.6203,6440,Solar,6/04/2022,Unsuspended,0,n/a
SRPVQLV7,My Centre Nerang - Solar - QLD,QLD,0.5499,4211,Solar,7/04/2022,Unsuspended,0,n/a
SRPXVC61,"Eramosa Rd West, Somerville - Solar - VIC",VIC,0.7636,3912,Solar,12/04/2022,Unsuspended,0,n/a
SRPXVC83,Phoenix Community College - Solar- VIC,VIC,0.1998,3356,Solar,12/04/2022,Unsuspended,0,n/a
SRPXNS75,Energy Bay - B&J (Arndell Park) - Solar - NSW,NSW,0.1987,2148,Solar,14/04/2022,Unsuspended,0,n/a
