facility_id,financial_year_end,reporting_year,reporting_entity,facility_name,row_type,state,grid_connected,grid,primary_fuel,electricity_production_gj,electricity_production_mwh,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,emission_intensity_tco2e_per_mwh,jv_double_counted
109,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Broadmeadows LFG Power Station,F,VIC,On,NEM,Landfill Gas,69413.0,19281.0,1230.0,10.0,1240,0.06,False
110,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Brooklyn LFG Power Station,F,VIC,On,NEM,Landfill Gas,61195.0,16999.0,1054.0,5.0,1059,0.06,False
111,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Broome LNG Power Station,F,WA,Off,Off-grid,Gas/Diesel,485698.0,134916.0,82255.0,0.0,82255,0.61,False
112,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Browns Plains LFG Power Station,F,QLD,On,NEM,Landfill Gas,40383.0,11218.0,712.0,4.0,716,0.06,False
113,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Century Power Station,FA,QLD,On,Mt Isa,Diesel,4393.0,1220.0,848.0,0.0,848,0.69,False
114,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Clayton LFG Power Station,F,VIC,On,NEM,Landfill Gas,290315.0,80643.0,4503.0,321.0,4824,0.06,False
115,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Coober Pedy Remote Power Station,F,SA,Off,Off-grid,Diesel,42860.0,11906.0,8348.0,0.0,8348,0.7,False
116,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Cue Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,6804.0,1890.0,1363.0,0.0,1363,0.72,False
117,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Derby LNG Power Station,F,WA,Off,Off-grid,Gas/Diesel,128739.0,35761.0,18528.0,0.0,18528,0.52,False
118,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Djarandjin Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,5837.0,1621.0,1157.0,0.0,1157,0.71,False
119,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Eastern Creek LFG Power Station,F,NSW,On,NEM,Landfill Gas,58449.0,16236.0,931.0,3.0,934,0.06,False
120,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,EDL LFG (VIC),FA,VIC,On,NEM,Landfill Gas,28317.0,7866.0,502.0,7.0,509,0.06,False
121,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Fitzroy Crossing LNG Power Station,F,WA,Off,Off-grid,Gas/Diesel,52066.0,14463.0,7074.0,0.0,7074,0.49,False
122,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Gascoyne Junction Remote Power Station,F,WA,Off,Off-grid,Liquid Fuel,2847.0,791.0,603.0,0.0,603,0.76,False
123,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,German Creek CMM Power Station,F,QLD,On,NEM,Waste Coal Mine Gas,1101467.0,305963.0,166630.0,0.0,166630,0.54,False
124,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Glennies Creek Power Station,F,NSW,On,NEM,Waste Coal Mine Gas,326588.0,90719.0,53189.0,5.0,53194,0.59,False
125,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Halls Creek LNG Power Station,F,WA,Off,Off-grid,Gas/Diesel,41237.0,11455.0,6357.0,0.0,6357,0.55,False
126,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Highbury and Tea Tree Gully Power Stations,FA,SA,On,NEM,Landfill Gas,12141.0,3373.0,220.0,42.0,262,0.07,False
127,2015,2014-15,ENERGY DEVELOPMENTS LIMITED,Jacks Gully LFG Power Station,F,NSW,On,NEM,Landfill Gas,56366.0,15657.0,991.0,1.0,992,0.06,False
