facility_id,facility_name,state,primary_fuel,match_status,match_score,accreditation_code,station_name,postcode,installed_capacity_mw,fuel_source,accreditation_start_date,approval_date,committed_date,suspension_status,baseline_mwh,cer_source_type,use_for_geocoding,lat,lon,geocode_source
349,Callide C Power Station,QLD,Black Coal,nger_only,,,,,,,,,,,,,,,,
350,Facility,VIC,Wind,nger_only,,,,,,,,,,,,,,,,
351,Cue Town Powerstation,WA,Liquid Fuel,nger_only,,,,,,,,,,,,,,,,
352,Meekatharra Town Powerstation,WA,Liquid Fuel,nger_only,,,,,,,,,,,,,,,,
353,Mt Magnet Town Powerstation,WA,Gas,nger_only,,,,,,,,,,,,,,,,
354,Sandstone Town Powerstation,WA,Liquid Fuel,nger_only,,,,,,,,,,,,,,,,
355,Wiluna Town Powerstation,WA,Liquid Fuel,nger_only,,,,,,,,,,,,,,,,
356,Yalgoo Town Powerstation,WA,Liquid Fuel,nger_only,,,,,,,,,,,,,,,,
357,Bremer Bay Wind Diesel Power Station,WA,Wind/Diesel,nger_only,,,,,,,,,,,,,,,,
358,Coral Bay Wind Diesel Power Station,WA,Wind/Diesel,nger_only,,,,,,,,,,,,,,,,
359,Hopetoun Wind Diesel Power Station,WA,Wind/Diesel,nger_only,,,,,,,,,,,,,,,,
360,Belrose LFG Power Station,NSW,Landfill Gas,nger_only,,,,,,,,,,,,,,,,
361,Corio LFG Power Station,VIC,Landfill Gas,exact,100.0,BEBGVC03,Corio LFG Power Plant,3214.0,1.0,Biomass,2001-04-01,,,Suspended,4620.0,historical_accredited,True,-38.0866279,144.3557418,nominatim_postcode
362,Grange Avenue LFG Power Station,NSW,Landfill Gas,fuzzy,100.0,BEBGNS10,Grange Avenue Power Station,2765.0,1.25,Biomass,2006-11-10,,,Unsuspended,0.0,historical_accredited,True,-33.6966444,150.8184119,nominatim_postcode
363,Highbury LFG Power Station,SA,Landfill Gas,exact,100.0,BEBGSA03,Highbury LFG Power Plant,5089.0,1.0,Biomass,2001-04-01,,,Suspended,0.0,historical_accredited,True,-34.8592355,138.6929381,nominatim_postcode
364,Kalamunda Power Station,WA,Diesel,nger_only,,,,,,,,,,,,,,,,
365,Red Hill Power Station,WA,Landfill Gas,nger_only,,,,,,,,,,,,,,,,
366,Tamala Park Power Station,WA,Landfill Gas,nger_only,,,,,,,,,,,,,,,,
367,Tea Tree Gully LFG Power Station,SA,Landfill Gas,nger_only,,,,,,,,,,,,,,,,
368,Exmouth Power Station Pty Ltd,WA,Gas,nger_only,,,,,,,,,,,,,,,,
369,Bell Bay Thermal Power Station,TAS,Gas,nger_only,,,,,,,,,,,,,,,,
370,George Town (Temp Diesel),TAS,Diesel,nger_only,,,,,,,,,,,,,,,,
371,Port Latta (Temp Diesel),TAS,Diesel,nger_only,,,,,,,,,,,,,,,,
372,Que River (Temp Diesel),TAS,Diesel,nger_only,,,,,,,,,,,,,,,,
373,Mumbida Wind Farm,WA,Wind,exact,100.0,WD00WA20,Mumbida Wind Farm,6528.0,55.0,Wind,2013-05-13,,,Unsuspended,0.0,historical_accredited,True,-28.9859372,114.8372313,nominatim_postcode
374,Onslow Power Station,WA,Gas,nger_only,,,,,,,,,,,,,,,,
375,Kwinana Swift Power Station,WA,Gas,nger_only,,,,,,,,,,,,,,,,
376,Alpurrurulam (Lake Nash),NT,Diesel,nger_only,,,,,,,,,,,,,,,,
